Student_ID,Name,Age,Gender,Marks_Math,Marks_English,Marks_Science,Admission_Date
101,Kiran,,unknown,102,46.0,-5,2021/09/10
102,Sana,21,unknown,102,,76,20210911
103,Sana,19,Fmale,-10,,70,12-09-2021
104,,19,Fmale,102,,-5,13-09-2021
105,Sana,20,Fmale,-10,95.0,76,14-09-2021
106,Bilal,?,unknown,82,,-5,20210915
107,,?,unknown,64,,-5,16-09-2021
108,Omar,20,unknown,66,,-5,20210917
109,Omar,,Male,50,70.0,-5,2021/09/18
110,Ali,18,unknown,90,,40,2021/09/19
111,Zara,,Female,102,,56,2021/09/20
112,Omar,18,Female,-10,,48,20210921
113,Sana,20,Fmale,49,,-5,22-09-2021
114,Usman,19,Fmale,102,80.0,105,23-09-2021
115,Usman,18,Female,102,,105,24-09-2021
116,Sana,21,F,65,,-5,2021/09/25
117,Hira,20,Female,102,32.0,30,20210926
118,Bilal,300,Female,102,,105,2021/09/27
119,,,unknown,102,50.0,105,2021/09/28
120,Bilal,18,unknown,95,,105,2021/09/29
121,Omar,300,unknown,-10,,49,20210930
122,Zara,21,Female,102,44.0,105,01-10-2021
123,Ali,,Fmale,102,,32,20211002
124,Omar,19,Male,102,,68,03-10-2021
125,Ahsan,18,unknown,102,,-5,20211004
126,Hira,21,Male,-10,68.0,75,20211005
127,Fatima,19,Male,102,,-5,2021/10/06
128,Zara,300,M,-10,,105,2021/10/07
129,,21,F,102,57.0,56,20211008
130,Ahsan,,unknown,-10,70.0,105,20211009
131,Bilal,300,unknown,-10,80.0,74,2021/10/10
132,Fatima,18,M,102,,-5,20211011
133,Hira,300,Female,-10,,105,20211012
134,Fatima,18,Male,-10,71.0,94,2021/10/13
135,Fatima,19,Male,75,41.0,-5,2021/10/14
136,Usman,18,unknown,-10,58.0,-5,2021/10/15
137,Bilal,21,Fmale,-10,66.0,105,20211016
138,Zara,300,Male,102,45.0,105,17-10-2021
139,Usman,21,F,59,47.0,47,20211018
140,Bilal,,Female,62,94.0,34,20211019
106,Bilal,?,unknown,82,,-5,20210915
111,Zara,,Female,102,,56,2021/09/20
